jurisdiction,indicator,raw_value,raw_unit,reference_year,source_id,source_url,source_file,locator,status,verification_method,verification_result,extracted_at,notes
Alabama,I1_PAY_LEVEL,61430,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M37290 (row 37290: AREA_TITLE='Alabama', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=30880, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 61430.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Alaska,I1_PAY_LEVEL,83140,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M37420 (row 37420: AREA_TITLE='Alaska', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=15770, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 83140.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Arizona,I1_PAY_LEVEL,62290,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M37539 (row 37539: AREA_TITLE='Arizona', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=40420, MEAN_PRSE=0.1 (reliability acceptable). M1=VERIFIED; M2=I1: 62290.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Arkansas,I1_PAY_LEVEL,54030,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M37677 (row 37677: AREA_TITLE='Arkansas', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=26120, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 54030.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
California,I1_PAY_LEVEL,95570,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M37811 (row 37811: AREA_TITLE='California', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=225810, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 95570.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Colorado,I1_PAY_LEVEL,77130,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38046 (row 38046: AREA_TITLE='Colorado', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=33440, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 77130.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Connecticut,I1_PAY_LEVEL,85820,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38175 (row 38175: AREA_TITLE='Connecticut', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=33270, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 85820.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Delaware,I1_PAY_LEVEL,63940,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38320 (row 38320: AREA_TITLE='Delaware', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=17690, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 63940.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
District of Columbia,I1_PAY_LEVEL,93680,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38437 (row 38437: AREA_TITLE='District of Columbia', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=24810, MEAN_PRSE=0 (reliability acceptable). M1=VERIFIED; M2=I1: 93680.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
Florida,I1_PAY_LEVEL,57660,USD_annual,2024,OEWSRES24,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,"sheet 'state_industry_M2024'!M38543 (row 38543: AREA_TITLE='Florida', NAICS=999200, O_GROUP=total, column A_MEAN)",FOUND,"M1 independent re-extraction (two separate workbook reads, key fields re-asserted); M2 range validation 30000-150000",VERIFIED,2026-08-04T19:24:45Z,"NAICS 999200 State Government excluding Schools and Hospitals. TOT_EMP=110690, MEAN_PRSE=0.1 (reliability acceptable). M1=VERIFIED; M2=I1: 57660.0 in [30000, 150000]. METHOD DEVIATION (approved): I1 uses OEWS Research Estimates NAICS 999200 'State Government, excluding Schools and Hospitals' sector mean as published, not ASPEP and not the seven-function basket. The source's exclusion of schools and hospitals matches the basket's stated intent, but the named functions (financial admin, other gov admin, judicial/legal, corrections, highways, public welfare, police) cannot be isolated in this source. A_MEAN is published directly in USD_annual; no payroll-over-headcount computation performed. Detailed occupation rows not used."
