source_id,dataset,publisher,url,filename,sha256,bytes,downloaded_at,reference_year,covers_51,notes
ASPEP24,Annual Survey of Public Employment & Payroll (ASPEP) 2024 - individual unit files,U.S. Census Bureau,https://www.census.gov/data/datasets/2024/econ/apes/annual-apes.html,2024_individual_unit_files.zip,a02a3d3dd5aa4311bc569acc803b840d5c5b8edb875e0283efb06b1725597975,10925836,2026-08-04T03:26:24Z,2024,NO - 50 of 51,"NOT SELECTED for I1. Only downloadable bulk file on the 2024 ASPEP dataset page; the published state-government summary (GS00EMP02) is interactive-only on data.census.gov. Contains 24empst.txt (unit x function employment/payroll), 24empid.txt (unit directory), 24emp.xlsx. JURISDICTION CODING: Census alphabetical state codes, NOT FIPS (11=Georgia, not DC). State-government units = 14-char gov ID with type digit 0 and trailing zeros; 50 such records exist. D.C. IS ABSENT AS A STATE GOVERNMENT: Census code 09 contains only '09200100100000 Washington Dc' (municipal type-2 government) and WMATA (special district). D.C. therefore cannot yield an I1 value from ASPEP at state-government level."
QCEW24,"QCEW 2024 annual averages, by area",U.S. Bureau of Labor Statistics,https://www.bls.gov/cew/downloadable-data-files.htm,2024_annual_by_area.zip,3c72ec83921ac07fa8e701d08231102d50a2445464c44c260a354c3b82dce002,136138122,2026-08-04T03:26:54Z,2024,YES - 51 of 51,"I2 denominator (own_code 5 = Private, industry_code 10 = all industries, agglvl 51) and I5 numerator year (own_code 2 = State Government). NOTE own_code 2 is State Government and 5 is Private; own_code 3 is Local Government. Weekly wage column is 'annual_avg_wkly_wage'; annual is 'avg_annual_pay'. D.C. PRESENT as area_fips 11000 but the file is named 'District of Columbia, not unknown' NOT '-- Statewide' - matching on the string 'Statewide' returns only 52 files (50 states + Puerto Rico + Virgin Islands) and SILENTLY DROPS D.C. Must key on area_fips, not filename. Territories 72000/78000 must be excluded."
QCEW19,"QCEW 2019 annual averages, by area",U.S. Bureau of Labor Statistics,https://www.bls.gov/cew/downloadable-data-files.htm,2019_annual_by_area.zip,9a5c91918ba321d7c66855e5b06331fae67ad6a82f4fd0e6e3bcdb70e828578a,136841863,2026-08-04T03:27:26Z,2019,YES - 51 of 51,"I5 base year ONLY - the single documented deviation from the 2024 anchor, by design (I5 is a 2019->2024 real change). Same structure as QCEW24. D.C. PRESENT as area_fips 11000, named 'District of Columbia' (no '-- Statewide' suffix; 2024 and 2019 use different names for the same area, so match on area_fips)."
OEWS24,OEWS May 2024 state occupational estimates,U.S. Bureau of Labor Statistics,https://www.bls.gov/oes/tables.htm,oesm24st.zip,5b66eb673f120c10fd17824d4d1e8bcf2fba0e6b39122b66404ce42cad5fb816,7617815,2026-08-04T03:27:28Z,2024 (May 2024),YES - 51 of 51 at file level,"I3 entry wage. Contains oesm24st/state_M2024_dl.xlsx, 32 columns, AREA_TITLE = full jurisdiction name. 54 areas = 51 + Guam + Puerto Rico + Virgin Islands (exclude territories). D.C. PRESENT. PER-OCCUPATION COVERAGE IS NOT COMPLETE: 43-4061 Eligibility Interviewers = 53 areas incl. D.C. (A_PCT10 60350); 33-3012 Correctional Officers = 50 areas, D.C. ABSENT; 13-2081 Tax Examiners = 49 areas, ABSENT for D.C., Oklahoma, South Dakota. Zero A_PCT10 cells carry a * or # suppression marker in the rows that do exist - the gaps are missing rows, not suppressed values. D.C. will have 1 of 3 occupations, Oklahoma and South Dakota 2 of 3."
OEWSRES24,"OEWS May 2024 Research Estimates by State and Industry, sector 99 (government)",U.S. Bureau of Labor Statistics,https://www.bls.gov/oes/oes_research_2024.htm,oes_research_2024_sec_99.xlsx,ae2b0157511d2311f1e2812c391f4fb143349a6604533866271a0bd255a7b5de,9084964,2026-08-04T03:27:29Z,2024 (May 2024),YES - 51 of 51,"SELECTED for I1 (see decision note below). Sheet 'state_industry_M2024'. NAICS 999200 = 'State Government, excluding Schools and Hospitals (OEWS Designation)'. All 51 jurisdictions present at O_GROUP=total INCLUDING D.C. No suppression; EMP_PRSE <= 0.1 and MEAN_PRSE <= 0.2 for all 51; A_MEAN spans $48,980 (Mississippi) to $95,570 (California), entirely inside the $30k-$150k I1 plausibility band. Detailed occupation rows also present (34-212 per state). Other NAICS in file: 99/999000 (all government, D.C. absent), 999100 (federal), 999300 (local, D.C. absent) - only 999200 is used."
FMR25,"HUD FY2025 Fair Market Rents, county/town level (revised)",U.S. Dept. of Housing and Urban Development,https://www.huduser.gov/portal/datasets/fmr.html,FY25_FMRs_revised.xlsx,10e70da5b4d8ce7d938e460730abda052e71255c4bc5e9a95bec601c2d49b5db,362571,2026-08-04T03:27:31Z,FY2025 (published 2024),YES - 51 of 51,"I3 rent input. DOCUMENTED ANCHOR-YEAR EXCEPTION: HUD FY2025 FMRs are the rents published during calendar 2024 and are the correct 2024-anchored rent measure; no FY2024 substitution is made. Columns: stusps, state (FIPS), fips (10-char: 5-digit county + 5-digit town), countyname, county_town_name, pop2022, fmr_0..fmr_4; fmr_1 = one-bedroom. 4,680 rows across the 51 jurisdictions covering 3,144 distinct county FIPS; 1,605 rows are SUB-COUNTY towns (AK, CT, MA, ME, MO, NH, RI, VT). fmr_1 range $587-$3,221, inside the $500-$3,500 band. D.C. PRESENT: one row, fips 1100199999, fmr_1 = 2056. Territories (state 60/66/69/72/78) must be excluded. Source xlsx has a malformed docProps/core.xml date ('2025- 2-18T...') that crashes openpyxl; a repaired READABLE copy is in work/, sources/ copy is unmodified."
FMR25O,"HUD FY2025 Fair Market Rents, county/town level (original, pre-revision)",U.S. Dept. of Housing and Urban Development,https://www.huduser.gov/portal/datasets/fmr.html,FY25_FMRs.xlsx,21217df7d8c5c2bd6633fe8d3deb460d7114712ac809fe1644235980240f2ab5,362523,2026-08-04T03:27:32Z,FY2025 (published 2024),not assessed,Downloaded for provenance only. NOT SELECTED - the revised file FY25_FMRs_revised.xlsx supersedes it and is the file used.
RPP24,"BEA Regional Price Parities by state, 2008-2024",U.S. Bureau of Economic Analysis,https://www.bea.gov/data/prices-inflation/regional-price-parities-state-and-metro-area,SARPP.zip,38713c6224c4c26ae020ffecd4549b82dca84f43d34f93dfdb43f4070cf011da,39230,2026-08-04T03:27:33Z,2024,YES - 51 of 51,"Deflator for I1 and I3. File SARPP_STATE_2008_2024.csv inside SARPP.zip. LineCode 1 = 'RPPs: All items'. BASE IS US=100 (United States row = 100.000), which is the base the scoring formula divides by 100 assumes. 2024 values span 86.937 to 110.720 - all inside the 80-120 validation band, so the 100x base error found in the prior build is not present in this file. D.C. PRESENT, 2024 = 109.901. GeoName is the full jurisdiction name; GeoFIPS is quoted with leading spaces."
POP24,"Census county population estimates, vintage 2024 (co-est2024-alldata)",U.S. Census Bureau,https://www2.census.gov/programs-surveys/popest/datasets/2020-2024/counties/totals/,co-est2024-alldata.csv,abcc8720d669e793bbfdcd440eeec37a78db3b452adbe4ccd1eadf7c72b522b9,1769182,2026-08-04T03:27:37Z,2024,YES - 51 of 51,"Candidate weighting input for the I3 FMR aggregation. 3,144 county rows at SUMLEV 050; POPESTIMATE2024 present. D.C. PRESENT as a single county row, POPESTIMATE2024 = 702250. JOIN PROBLEM: 9 FIPS on each side do not match FMR25, and the mismatch is entirely Connecticut - Census vintage 2024 uses the 9 CT planning regions (09110-09190) while HUD FY2025 still uses the 8 legacy CT counties (09001-09015). Connecticut is inside the Phase 2 first-15 scope. Weighting method is UNRESOLVED and is a decision for the user (see report)."
CPI,"CPI-U, All items, U.S. city average, NSA - full time series (cu.data.1.AllItems)",U.S. Bureau of Labor Statistics,https://www.bls.gov/cpi/,cu.data.1.AllItems,c939b099e168560facac86c0bd7acf040620bb9e177a67109225ea54c56e8b07,2683417,2026-08-04T03:27:35Z,2019 and 2024,"n/a - national series, not by jurisdiction","I5 deflator. Series CUUR0000SA0, period M13 (annual average): 2019 = 255.657, 2024 = 313.689. Downloaded from the BLS public time-series flat-file directory (download.bls.gov/pub/time.series/cu/), which is the machine-readable form of the CPI program page. Series CUUS0000SA0 is not carried in this file. Tab-delimited with padded whitespace in every field - strip before matching."
