jurisdiction,pd_function_count,pd_function_names,cpm_status,cpm_present,certificate_programs,certificate_present,pd_points,digital_states_grade,digital_states_points,dimension4_score,psai_contribution,pd_source_urls,source_publication_dates,verified,notes
Alabama,1,State Personnel Department Training Division (management and leadership training),Accredited + established,yes,"Graduate Certificate in Public Management (University of Alabama at Birmingham (UAB), Department of Political Science and Public Administration)",yes,74,B,83,78.5,11.775,https://www.personnel.alabama.gov/About; https://www.uab.edu/cas/pspa/graduate/graduate-certificates/public-management,undated; undated,yes,"Alabama: On the official Alabama State Personnel Department (SPD) About page (personnel.alabama.gov/About), a general ""Training Division"" is named, described as providing centralized management/leadership training for state employees; no distinct academy name or date is shown (verified=true, page directly named the division). A companion SPD document, ""STATE PERSONNEL DEPARTMENT TRAINING CLASSES"" (personnel.alabama.gov/Downloads/TrainPrograms.pdf), lists leadership/supervisory course offerings and is dated ""Updated June 26, 2025"" per search snippet, but the PDF itself could not be parsed to confirm text/date directly, so verified=false (unconfirmed by direct fetch). No separate state-run ""leadership academy"" was found. Non-CPM certificate program found: UAB's ""Graduate Certificate in Public Management,"" a structured completion-credential program aimed at professionals seeking public-sector management advancement (public university, non-CPM). The Auburn University at Montgomery (AUM) program found in search is the National CPM Consortium-accredited CPM program and was excluded per instructions since it is scored separately."
Alaska,2,"Learning and Development (Division of Personnel, Dept. of Administration) — statewide training/learning function; Academy for Supervisors (State of Alaska, levels 101/200/300/400)",No program,no,"Graduate Certificate in Executive Leadership, University of Alaska Anchorage (College of Business & Public Policy) (University of Alaska Anchorage)",yes,77,C+,77,77,11.55,https://doa.alaska.gov/dop/TrainingDevelopment/; https://doa.alaska.gov/dop/TrainingDevelopment/; https://catalog.uaa.alaska.edu/graduateprograms/cbpp/gradcert-executiveleadership/,undated; undated; 2026-2027 catalog,yes,"Alaska: Two statewide PD functions confirmed on the official Division of Personnel Learning and Development page (doa.alaska.gov/dop/TrainingDevelopment/): (1) the 'Learning and Development' team/division that runs the statewide learning management system (AspireAlaska), and (2) the 'Academy for Supervisors' leadership/supervisor training program (101 live now; 200/300/400 listed as coming soon). Page shows no publication/last-updated date, so pub_date=undated for both. One qualifying public-university certificate found: UAA's Graduate Certificate in Executive Leadership (2026-2027 catalog), aimed at leaders/executives in public, private, or nonprofit sectors. The 'Alaska Rural Management Certificate' was found but is offered by Alaska Pacific University, a PRIVATE institution, not a public university, so it does not meet the public-university criterion — included as verified=false/excluded from count for transparency. No other distinct statewide leadership academy or certificate program was confirmed on an official source."
Arizona,1,"Arizona Learning and Development (statewide training portal, ADOA)",Accredited + established,yes,Graduate Certificate in Public Administration (Arizona State University (School of Public Affairs / ASU Online)); Undergraduate Certificate in Public Administration and Public Management (Arizona State University (School of Public Affairs)),yes,74,A-,92,83,12.45,https://hr.az.gov/arizona-learning-and-development; https://asuonline.asu.edu/online-degree-programs/certificates/public-administration-graduate-certificate/; https://spa.asu.edu/undergraduate-certificates/majorinfo/PPPAFCERT/undergrad/true/4,undated; undated; undated,yes,"Arizona: Found three candidate PD functions run through the Dept. of Administration (ADOA): (1) Arizona Learning and Development — the statewide training portal offering free professional development to state and non-state employees, confirmed on hr.az.gov (official, static content, verified=true). (2) State of Arizona Leaders Connect (SALC) — a leadership-development program for state agency leaders, jointly run by the Governor's Office, Government Transformation Office, and ADOA; described via WebSearch snippet from doa.az.gov/about-us/leaders-connect but the official page itself returned HTTP 403 on direct fetch, so verified=false pending re-confirmation on the live page. (3) AZ HR Orientation and Academy — a 3-level academy for HR professionals (not general state-employee/manager leadership), named on hr.az.gov via search snippet only (page not directly re-fetched), verified=false; borderline since it targets HR practitioners specifically rather than general managers. ASU Leadership Academy (leadershipacademy.asu.edu) was excluded as a state PD function because the fetched page did not indicate it is specific to state government employees/public managers — it appears to be a general ASU leadership program, not a state-run function. Certificate programs: ASU CareerCatalyst is a Governor-announced (Oct 21, 2025) state/ASU partnership pilot providing state employees access to ASU courses/certificates — named via hr.az.gov search snippet, source page returned 403 on direct fetch, so verified=false; pub_date 2025 reflects the announcement date reported in search results, not a confirmed on-page date. Also identified two non-CPM, non-degree structured certificate programs at Arizona State University's School of Public Affairs: a Graduate Certificate in Public Administration (ASU Online) and an Undergraduate Certificate in Public Administration and Public Management, both confirmed via their official ASU program pages (verified=true), though neither page displayed an explicit last-updated date (recorded as 'undated'). Two direct WebFetch attempts (hr.az.gov/arizona-learning-and-development, hr.az.gov/asu-careercatalyst-program, doa.az.gov/about-us/leaders-connect) returned HTTP 403 — content for those items is based on WebSearch result snippets rather than a directly re-opened primary page, hence conservative verified=false flags where the primary page could not be re-fetched directly. No dollar/funding figures were recorded per instructions."
Arkansas,1,"OPM Training (Office of Personnel Management Training and Outreach), Arkansas Department of Shared Administrative Services / Department of Transformation and Shared Services",Accredited + established,yes,,no,67,B,83,75,11.25,https://sas.arkansas.gov/personnel/training/,undated,yes,"Found one confirmed statewide PD function: OPM Training (the Office of Personnel Management's Training and Outreach division within Arkansas Department of Shared Administrative Services / Department of Transformation and Shared Services), which runs a centralized statewide training program including 'Required Supervisory Training' (Arkansas Government Basics, HRkansas, plus an elective) for new supervisors/managers — confirmed on official sas.arkansas.gov page, no specific last-updated date shown on page. No dedicated statewide 'leadership academy' for general state government employees was found (the Arkansas Leadership Academy is an education-sector/K-12 leadership program housed at University of Arkansas, not a statewide state-employee function — excluded as out of scope). No qualifying non-CPM certificate program was found for public managers/employees offered by the state or a public university; the only certificate-style program identified is Arkansas's Certified Public Manager (CPM) program itself (administered via UA Little Rock/APAC), which is excluded per instructions as it is the National CPM Consortium program scored separately elsewhere. Listed with verified=false as a non-counted reference item only."
California,3,California Leadership Academy (Statewide Leadership Development Program — Supervisor/Manager/Executive Development Programs) — CalHR Workforce Development Division; CalHR Statewide Training Program (incl. CalLearns Learning Management System and California LEAN Academy); Project Management Leadership Academy — California Department of Technology (CDT),No program,no,"Certificate in Essentials of Public Administration for Public Sector Professionals (California State University, Northridge (CSUN))",yes,92,A,100,96,14.4,https://www.calhr.ca.gov/about-calhr/divisions-programs/workforce-development-division/statewide-leadership-development/california-leadership-academy/; https://www.calhr.ca.gov/about-calhr/divisions-programs/workforce-development-division/calhr-statewide-training-program/; https://www.cdt.ca.gov/workforce-development/project-management-leadership-academy/; https://catalog.csun.edu/academics/mpa/programs/certificate-essentials-of-public-administration-for-public-sector-professionals/,undated; undated; 2026; 2026-2027,yes,"Confirmed on official CalHR (state .gov) pages: (1) California Leadership Academy — encompassing the Supervisor Development Program (SDP), Manager Development Program (MDP), and Executive Development Program (EDP), housed under CalHR's Workforce Development Division / Statewide Leadership Development; (2) CalHR Statewide Training Program, which includes the CalLearns learning management system and the California LEAN Academy (process-improvement training) — this is a distinct dedicated statewide training function separate from the Leadership Academy. Also confirmed a third official state function: the Project Management Leadership Academy (PMLA) run by the California Department of Technology (CDT), a 10-week program for public-sector professionals (2026 cohort dates given, but no page-level pub/update date). None of these CalHR/CDT pages displayed an explicit last-updated date, so pub_date is ""undated"" except PMLA where ""2026"" appears in body text referencing the current cohort. Excluded generic CalHR HR/careers/benefits pages and compliance-only training. Non-CPM certificate programs: CSUN's ""Certificate in Essentials of Public Administration for Public Sector Professionals"" (verified on 2026-2027 university catalog, a structured completion-credential program explicitly for public-sector professionals); CSUB's Public Administration Certificate (found via catalog page but not deeply fetched/confirmed as still active — verified=false, include for completeness); UC Davis GSM's ""California Leadership Academy"" executive-education program (distinct from the CalHR program of the same name — a public-university offering aimed at public service leaders such as county assessors/recorders/election officials, but not confirmed as a formal completion-certificate credential on a primary program page, so verified=false). Validation note: this collection is PD-infrastructure context only, separate from the CPM-scored metric per project rules; not merged into the scored index."
Colorado,0,,Accredited + established,yes,"Graduate Certificate in Public Management (Colorado State University (online.colostate.edu)); Professional Development Institute (PDI) / Professional Development & Focus Certificates (Colorado State University, Talent Development)",yes,20,B+,88,54,8.1,https://online.colostate.edu/certificates/public-management/; https://training.colostate.edu/professional-development-institute/,undated; 2026 (site copyright; no explicit last-updated date),yes,"Colorado PD functions found: (1) Learning & Development for the State of Colorado (LDC), the statewide training/learning division housed under the Dept. of Personnel & Administration's DHR; (2) Emerging Leader Certification Program, LDC's statewide leadership program for new/experienced supervisors; (3) HR Academy, LDC's statewide HR training hub. All three are named on dhr.colorado.gov pages, but WebFetch returned HTTP 403 on dhr.colorado.gov and operations.colorado.gov directly (site blocks automated fetch), so confirmation rests on search-engine snippets/cache of those official pages rather than a directly re-opened page — set verified=false per the strict rule (could not literally re-open the primary page myself); treat as needing re-verification via a different fetch method (e.g., archive.org) before scoring reliance. No CO state government leadership academy distinct from LDC/Emerging Leader was found. Certificate programs found at public universities: CSU's online Graduate Certificate in Public Management (4-course, stackable into MPPA) — directly fetched and confirmed, no date shown (undated); and CSU Talent Development's Professional Development Institute / Professional Development & Focus Certificates — directly fetched, confirmed, page shows only a 2026 copyright footer, no explicit last-updated date. No other CO public-university certificate-for-public-managers program was found in this pass. National CPM Consortium program excluded per instructions."
Connecticut,2,DAS Learning & Development (Statewide HR Employee Development); Aspiring Leaders Development Program,No program,no,"State of Connecticut Train the Trainer Certificate Program (Connecticut Training & Development Network (in partnership with DAS Learning Center)); Graduate Certificate in Leadership and Public Management (University of Connecticut, School of Public Policy)",yes,77,A-,92,84.5,12.675,https://portal.ct.gov/en/DAS/Statewide-HR/Employee-Development; https://portal.ct.gov/das/statewide-hr/employee-development/register; https://portal.ct.gov/ctdn/programs-and-services/train-the-trainer/programs; https://publicpolicy.uconn.edu/leadership-public-management-certificate/,undated; undated; undated; undated,yes,"Connecticut PD functions found on official state.gov sources: (1) DAS Learning & Development — the Executive Branch's central learning/training division under DAS Statewide HR (portal.ct.gov/en/DAS/Statewide-HR/Employee-Development), confirmed by direct fetch, no page date shown; (2) Aspiring Leaders Development Program — a standing statewide leadership-development program (since 2007 per search snippet) run through DAS, registration page confirmed by fetch, no date shown. Excluded generic HR/careers/mandatory-compliance training pages per instructions. Certificate programs (non-CPM) found: (1) State of Connecticut Train the Trainer Certificate Program, offered via the Connecticut Training & Development Network (CTDN, portal.ct.gov/ctdn) in partnership with the DAS Learning Center — confirmed by direct fetch of the CTDN programs page, no date shown; (2) UConn School of Public Policy's Graduate Certificate in Leadership and Public Management — a 12-credit public-university certificate for public-sector managers, confirmed by direct fetch, no date shown. No page among these carried an explicit last-updated/publication date, so pub_date is set to ""undated"" for all four items per instructions."
Delaware,3,"Division of Training and HR Solutions (DHR); iLEAD Delaware Leadership Program (Leadership Essentials, Frontline Leadership, Project and Process Leadership, Organizational Leadership); Delaware Learning Center (statewide learning management/training platform)",No program,no,Human Resources Certification (HRC) Program (Delaware DHR - Division of Training and HR Solutions); Administrative Professionals Curriculum (Delaware DHR - Division of Training and HR Solutions),yes,92,B+,88,90,13.5,https://dhr.delaware.gov/training/index.shtml; https://dhr.delaware.gov/training/prof-development/index.shtml; https://dhr.delaware.gov/training/index.shtml; https://dhr.delaware.gov/training/special/hrc/; https://dhr.delaware.gov/training/prof-development/index.shtml,undated; undated; undated; undated; undated,yes,"Delaware runs statewide PD infrastructure via DHR's Division of Training and HR Solutions (dhr.delaware.gov/training/index.shtml), which operates the iLEAD Delaware Leadership Program (a four-tier leadership curriculum: Leadership Essentials, Frontline Leadership, Project and Process Leadership, Organizational Leadership) and the Delaware Learning Center as the statewide LMS/training delivery platform. Certificate-style completion credentials found: the Human Resources Certification (HRC) Program (3-year, 8-competency HR professional credential, confirmed on its own official page dhr.delaware.gov/training/special/hrc/), a Supervisory Development Certification (page found via search but not independently re-fetched to confirm content, so verified=false), a Continuous Process Improvement Practitioners Certificate Program (named on the main training landing page but no dedicated page independently confirmed, verified=false), and the Administrative Professionals Curriculum (confirmed on the professional-development page). No pages carried an explicit publication/last-updated date, so pub_date is ""undated"" throughout. No public-university (e.g., University of Delaware) public-manager certificate program was found in this search pass. All items are commitment/infrastructure signals only; no dollar or funding figures were recorded."
Florida,0,,Program exists,no,Certified Government Chief Information Officer (CGCIO) (Florida State University - Institute of Government); Certified Public Technology Manager (CPTM) (Florida State University - Institute of Government),yes,7,B,83,45,6.75,https://iog.fsu.edu/certification-programs; https://iog.fsu.edu/certification-programs,undated; undated,yes,"Florida (statewide, non-CPM PD infrastructure) — searched official state .gov and public university sources 2026-07-10.  PD FUNCTIONS: No dedicated, confirmed-on-primary-source statewide general-employee PD division/leadership academy was found that met the bar. (a) DMS 'Learning and Development' / Learning Management System page (dms.myflorida.com) is a real state HR page but reads as a generic LMS/HR-training portal, not a named standing PD program — could not confirm a distinct named division/academy on the page itself, so verified=false. (b) Florida Leadership Academy is run by FDLE/FCJEI but is explicitly scoped to criminal-justice supervisors, not general statewide employees, so it was excluded from the countable set per task rules — listed but flagged as not counted (verified=false). Net countable pd_functions with official_state_gov=true AND verified=true: 0.  CERTIFICATE PROGRAMS (non-CPM): Florida State University's Institute of Government (iog.fsu.edu/certification-programs) offers two named, verifiable certificate programs open to public-sector/government professionals: Certified Government Chief Information Officer (CGCIO) and Certified Public Technology Manager (CPTM) — both confirmed on the primary FSU page, no date shown (undated). A 'Certificate in Supervisory Management (CSM)' associated with the Florida Society of Certified Public Managers was referenced in secondary/search-summary sources (search snippet, LinkedIn) but could NOT be confirmed on FCPM's own official pages (fcpm.fsu.edu, about-fcpm, how-become-certified-public-manager-florida) after direct fetch — included with verified=false per instructions (found but unconfirmed on primary source).  The National CPM Consortium-accredited Florida CPM program (administered by FCPM/FSU) was deliberately excluded per task scope, as it is scored separately under Dimension 4's CPM metric.  Caveat: this data measures PD infrastructure/commitment signals only, not spending, funding, or dollar amounts; no dollar figures were recorded or inferred."
Georgia,1,Office of Enterprise Learning (DOAS) / GA@WORK Learning,Accredited + established,yes,"Public Finance Leadership Academy (PFLA) (Carl Vinson Institute of Government, University of Georgia); Georgia Certified Economic Developer (GCED) (Carl Vinson Institute of Government, University of Georgia (with Georgia Economic Developers Association)); Certified Downtown Professional (CDP) (Carl Vinson Institute of Government, University of Georgia (with Georgia Downtown Association))",yes,74,A,100,87,13.05,https://doas.ga.gov/enterprise-learning; https://cviog.uga.edu/training/index.html; https://cviog.uga.edu/training/economic-development-training/gced.html; https://cviog.uga.edu/training/index.html,undated; undated; 2026; undated,yes,"Confirmed on official DOAS.ga.gov page: Office of Enterprise Learning, which manages the statewide GA@WORK Learning LMS for state employee professional development (counted as the dedicated statewide PD function; excludes generic HR/careers pages which named no distinct program). No separate named ""leadership academy"" for general state employees was found on DOAS or Governor's Office pages (Governor's School Leadership Academy is education/K-12 focused, not statewide public-manager PD, so excluded). Non-CPM certificate programs found at UGA's Carl Vinson Institute of Government (public university, not the National CPM Consortium program which is excluded/scored separately): Public Finance Leadership Academy (PFLA), Georgia Certified Economic Developer (GCED), and Certified Downtown Professional (CDP) — all confirmed on cviog.uga.edu official pages. None of the CVIOG pages displayed a specific last-updated date (GCED page footer shows generic site copyright 2026, not a content pub date, so recorded as 2026 with low confidence; PFLA/CDP recorded as undated since only found on the general training index page)."
