"jurisdiction","jurisdiction_code","indicator_id","indicator_text","points_possible","answer","points_awarded","source_url","source_title","source_type","source_date","accessed_date","evidence_quote","protocol_step","note"
"Alabama","AL","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://law.onecle.com/alabama/title-36/36-1-7.1.html","Code of Alabama 36-1-7.1 - Alabama Employees' Suggestion Incentive Program","OFFICIAL","2000","2026-07-31","""There is established the Alabama Employees' Suggestion Incentive Program""","1","Enacted by Act 2000-767. Authorizes $1000 standard / $5000 exceptional cash awards. Elected officials and department heads expressly ineligible - correct population. Official state sources failed: admincode.legislature.state.al.us rendered empty, personnel.alabama.gov ESIP PDF returned undecodable binary; text read from onecle statutory mirror instead."
"Alaska","AK","I1","Does a state law or administrative rule authorize employee recognition awards?","20","COULDNT_CHECK","0","NONE","NONE","NONE","UNDATED","2026-07-31","MISSING","1","Could not open any primary source within the time cap. AS 39.51 (Incentive Award Program) appeared in search results as repealed at 39.51.110-.200 by ch 60 SLA 1989, but this could not be confirmed by opening a document: law.justia.com returned HTTP 403, akleg.gov returned HTTP 403, codes.findlaw.com returned 404, and doa.alaska.gov/dop/denaliawards/ returned ECONNRESET on three attempts. Not scored as NO because the protocol could not be completed, not because the authority was shown to be absent."
"Arizona","AZ","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.azleg.gov/ars/38/00613.htm","Arizona Revised Statutes 38-613 - State employee suggestion program awards; fund","OFFICIAL","UNDATED","2026-07-31","""may adopt rules to provide an award to any state employee""","1","Official Arizona Legislature site. Director of Dept. of Administration authorized to award for adopted cost-saving ideas and special acts in the public interest. Award capped at 10 percent of documented savings. No last-updated date shown on page."
"Arkansas","AR","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/ar/title-21-public-officers-and-employees/ar-code-sect-21-11-103/","Arkansas Code 21-11-103 - Employee Suggestion System established","OFFICIAL","1981","2026-07-31","""established a program to be known as the 'Employee Suggestion System'""","1","Statute expressly created ""to grant awards for ideas of proper merit."" Originally Acts 1981 No. 856. law.justia.com returned HTTP 403; text read from FindLaw statutory mirror."
"California","CA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://california.public.law/codes/government_code_section_19823","California Government Code 19823 - Employee Awards","OFFICIAL","UNDATED","2026-07-31","""The department may make awards to current or retired state employees""","1","Three qualifying categories: adopted cost-saving proposals, special acts in the public interest, superior accomplishments. Capped at $5,000 absent a legislative concurrent resolution. Text read from public.law statutory mirror; CalHR .gov page not opened for I1 as it is a policy page rather than the authority itself."
"Colorado","CO","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/co/title-24-government-state/co-rev-st-sect-24-50-104.html","Colorado Revised Statutes 24-50-104 - Job evaluation and compensation","OFFICIAL","UNDATED","2026-07-31","""including the payment of incentive awards to employees in the state personnel system""","1","Directs the state personnel director to adopt procedures for incentive awards; criteria and amounts left to director. Cross-references performance-based awards under 24-38-103(1.5). law.justia.com returned HTTP 403; text read from FindLaw statutory mirror."
"Connecticut","CT","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/ct/title-5-state-employees/ct-gen-st-sect-5-263b.html","Connecticut General Statutes 5-263b - Award Program for state employees reporting gross waste of funds","OFFICIAL","UNDATED","2026-07-31","""There is established a program to award state employees who make a suggestion""","1","Narrower than most states - award program is limited to suggestions concerning alleged gross waste of funds that are implemented and produce savings. Still a statutory authorization of employee awards, so YES. CGS 5-208a checked first and found unrelated (compensation by more than one agency). law.justia.com returned HTTP 403; text read from FindLaw statutory mirror."
"Delaware","DE","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://delcode.delaware.gov/title29/c059/sc05/index.html","29 Del. C. 5950 - Employee recognition","OFFICIAL","UNDATED","2026-07-31","""shall be part of the function of state agencies to conduct employee recognition programs""","1","Official Delaware Code site. Strongest I1 language found in this batch - recognition is a mandatory agency function, not merely permitted, and programs require approval by the Secretary of the Dept. of Human Resources. Same section designates the first full week in May as Public Service Recognition Week."
"Florida","FL","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://www.flsenate.gov/laws/statutes/2025/110.1245","Florida Statutes 110.1245 - Savings sharing program; bonus payments; other awards","OFFICIAL","2025","2026-07-31","""authorized to incur expenditures to award suitable framed certificates, pins, or other tokens of recognition""","1","Official Florida Senate site, 2025 edition of the statutes. Covers both monetary savings-sharing bonuses and non-monetary recognition tokens for satisfactory service, capped at $100 each."
"Georgia","GA","I1","Does a state law or administrative rule authorize employee recognition awards?","20","YES","20","https://codes.findlaw.com/ga/title-45-public-officers-and-employees/ga-code-sect-45-21-2.html","Georgia Code 45-21-2 - Establishment of employees' suggestion and awards program","OFFICIAL","UNDATED","2026-07-31","""special, extraordinary service, act, or achievement in the public interest""","1","Chapter 45-21 is titled Employees' Meritorious Award Programs and Incentive Compensation Plans. Authorizes awards for extraordinary service and for implemented employee suggestions; parallel authority granted to legislative and judicial appointing authorities. law.justia.com returned HTTP 403; text read from FindLaw statutory mirror."
